letter,braille,index,binary_string,binary_list,unicode,dot_count,numbering_string,numbering_list
⠀,⠀,0,000000,"[0, 0, 0, 0, 0, 0]",2800,0,,[]
⠁,⠁,1,000001,"[0, 0, 0, 0, 0, 1]",2801,1,1,[1]
⠂,⠂,2,000010,"[0, 0, 0, 0, 1, 0]",2802,1,2,[2]
⠃,⠃,3,000011,"[0, 0, 0, 0, 1, 1]",2803,2,1-2,"[1, 2]"
⠄,⠄,4,000100,"[0, 0, 0, 1, 0, 0]",2804,1,3,[3]
⠅,⠅,5,000101,"[0, 0, 0, 1, 0, 1]",2805,2,1-3,"[1, 3]"
⠆,⠆,6,000110,"[0, 0, 0, 1, 1, 0]",2806,2,2-3,"[2, 3]"
⠇,⠇,7,000111,"[0, 0, 0, 1, 1, 1]",2807,3,1-2-3,"[1, 2, 3]"
⠈,⠈,8,001000,"[0, 0, 1, 0, 0, 0]",2808,1,4,[4]
⠉,⠉,9,001001,"[0, 0, 1, 0, 0, 1]",2809,2,1-4,"[1, 4]"
⠊,⠊,10,001010,"[0, 0, 1, 0, 1, 0]",280a,2,2-4,"[2, 4]"
⠋,⠋,11,001011,"[0, 0, 1, 0, 1, 1]",280b,3,1-2-4,"[1, 2, 4]"
⠌,⠌,12,001100,"[0, 0, 1, 1, 0, 0]",280c,2,3-4,"[3, 4]"
⠍,⠍,13,001101,"[0, 0, 1, 1, 0, 1]",280d,3,1-3-4,"[1, 3, 4]"
⠎,⠎,14,001110,"[0, 0, 1, 1, 1, 0]",280e,3,2-3-4,"[2, 3, 4]"
⠏,⠏,15,001111,"[0, 0, 1, 1, 1, 1]",280f,4,1-2-3-4,"[1, 2, 3, 4]"
⠐,⠐,16,010000,"[0, 1, 0, 0, 0, 0]",2810,1,5,[5]
⠑,⠑,17,010001,"[0, 1, 0, 0, 0, 1]",2811,2,1-5,"[1, 5]"
⠒,⠒,18,010010,"[0, 1, 0, 0, 1, 0]",2812,2,2-5,"[2, 5]"
⠓,⠓,19,010011,"[0, 1, 0, 0, 1, 1]",2813,3,1-2-5,"[1, 2, 5]"
⠔,⠔,20,010100,"[0, 1, 0, 1, 0, 0]",2814,2,3-5,"[3, 5]"
⠕,⠕,21,010101,"[0, 1, 0, 1, 0, 1]",2815,3,1-3-5,"[1, 3, 5]"
⠖,⠖,22,010110,"[0, 1, 0, 1, 1, 0]",2816,3,2-3-5,"[2, 3, 5]"
⠗,⠗,23,010111,"[0, 1, 0, 1, 1, 1]",2817,4,1-2-3-5,"[1, 2, 3, 5]"
⠘,⠘,24,011000,"[0, 1, 1, 0, 0, 0]",2818,2,4-5,"[4, 5]"
⠙,⠙,25,011001,"[0, 1, 1, 0, 0, 1]",2819,3,1-4-5,"[1, 4, 5]"
⠚,⠚,26,011010,"[0, 1, 1, 0, 1, 0]",281a,3,2-4-5,"[2, 4, 5]"
⠛,⠛,27,011011,"[0, 1, 1, 0, 1, 1]",281b,4,1-2-4-5,"[1, 2, 4, 5]"
⠜,⠜,28,011100,"[0, 1, 1, 1, 0, 0]",281c,3,3-4-5,"[3, 4, 5]"
⠝,⠝,29,011101,"[0, 1, 1, 1, 0, 1]",281d,4,1-3-4-5,"[1, 3, 4, 5]"
⠞,⠞,30,011110,"[0, 1, 1, 1, 1, 0]",281e,4,2-3-4-5,"[2, 3, 4, 5]"
⠟,⠟,31,011111,"[0, 1, 1, 1, 1, 1]",281f,5,1-2-3-4-5,"[1, 2, 3, 4, 5]"
⠠,⠠,32,100000,"[1, 0, 0, 0, 0, 0]",2820,1,6,[6]
⠡,⠡,33,100001,"[1, 0, 0, 0, 0, 1]",2821,2,1-6,"[1, 6]"
⠢,⠢,34,100010,"[1, 0, 0, 0, 1, 0]",2822,2,2-6,"[2, 6]"
⠣,⠣,35,100011,"[1, 0, 0, 0, 1, 1]",2823,3,1-2-6,"[1, 2, 6]"
⠤,⠤,36,100100,"[1, 0, 0, 1, 0, 0]",2824,2,3-6,"[3, 6]"
⠥,⠥,37,100101,"[1, 0, 0, 1, 0, 1]",2825,3,1-3-6,"[1, 3, 6]"
⠦,⠦,38,100110,"[1, 0, 0, 1, 1, 0]",2826,3,2-3-6,"[2, 3, 6]"
